reference,contents
15.1:27.54.1,"Τῷ περὶ γάλακτος δὲ λόγῳ καὶ περὶ τοῦ τυροῦ προσθεῖναι 15.2.6.1 χρή, διότι γάλα πεπηγός ἐστιν. οὐ μὴν οὐσία πᾶσα τοῦ γάλακτος πήγνυται κατὰ τοὺς τυρούς, ἀλλὰ τὸ παχὺ μόνον, ἀποκρινομένου καὶ 15.2.7.1 χωριζομένου τοῦ λεπτοῦ καὶ ὀρώδους. ἀποκρουστικὴν μὲν οὖν ὁ μα λακός τε καὶ νεοπαγὴς τυρὸς ἔχει δύναμιν ἐμψύχων ἀτρέμα, ὁ δ' ὀξυ 15.2.8.1 γαλάκτινος πρὸς ταύτῃ καὶ διαφορητικὴν ἐπικτᾶται βραχεῖαν."
15.1:27.54.1,"Βού τυρον <γίνεται> μὲν <ἐκ τοῦ λιπαρωτά>του κα<τὰ τὸ γάλα, ....> φησι Διοσκου<ρίδης ἐκ τοῦ> προβατείου, ἀλ<λὰ γίνεται καὶ ἐκ τοῦ βοεί>ου, πεπτικῆς <τέ> ἐστι, δυνάμεως, ἔχον ὀλίγον τι τῆς διαφορη 15.2.8.5 τικῆς ἐπί γε τῶν μέσων κατὰ μαλακότητα καὶ σκληρότητα σωμάτων."
15.1:27.54.1,"15.2.9.1 Πυτία πᾶσα δριμείας ἐστὶ καὶ λεπτυντικῆς καὶ διαφορητικῆς δυνάμεως, καὶ δηλονότι καὶ ξηραντικῆς· ἕπεται γὰρ τοῖς εἰρημένοις ἐξ ἀνάγκης 15.2.10.1 τοῦτο."
15.1:27.54.1,"Χολή· οὗτος ὁ χυμὸς ἀποδέδεικται θερμότατος εἶναι τῶν 15.2.11.1 ἄλλων χυμῶν. ἐν μὲν οὖν τοῖς θερμοτάτοις ἀναγκαῖόν ἐστι καὶ τὴν χολὴν ὑπὲρ τὰς τῶν ἄλλων ζῴων εἶναι χολάς, ἐν δὲ τοῖς ἧττον ἐκείνων θερμοῖς ἀνάλογον ἀπολείπεσθαι κατὰ τὸν χυμὸν τοῦτον, ὅσον 15.2.12.1 ἀπολείπεται καὶ τοῖς ἄλλοις. φαίνεται δ' ἡ χολὴ τοῖς μὲν μᾶλλον θερμοῖς ζῴοις ξανθή, τοῖς δ' ἧττον ὠχρά· μιγνυμένης γὰρ ὀρώδους 15.2.13.1 ὑγρότητος τῇ ξανθῇ, τὴν ὠχρὰν συμβαίνει γίνεσθαι. καὶ ὅταν γε τὰ θερμὰ ζῷα πεινήσαντα τύχῃ καὶ διψήσαντα, πρὸς τὸ μέλαν ἐκτρέπεται χρῶμα, ποτὲ μὲν ἰῶδες ἔχουσα τοῦτο, ποτὲ δὲ κυανοῦν, ἐνίοτε δὲ τὸ 15.2.14.1 τῆς ἰσάτιδος, ὅπερ ἐστὶ φαιότερον τοῦ τῆς κράμβης. πρόσεχε τοίνυν καὶ σὺ τῷ χρώματι τῆς χολῆς, ὅταν σκευάζῃς φάρμακον, ἐν ᾧ καὶ 15.2.15.1 χολῆς τι περιέχεται. γίνωσκε τοίνυν, ἐὰν μὲν ξανθὴν ἱκανῶς ἐμβάλῃς χολὴν τῷ σκευαζομένῳ φαρμάκῳ, θερμότερον αὐτὸ ποιήσων· ἐὰν δ' ὠχράν, 15.2.16.1 μετρίως θερμόν. καί τινων ταύρων ἐθεασάμην χολὴν κυανῆν, ὑπερ οπτηθείσης τῆς ξανθῆς, ἣν οὐκ ἠξίωσα βαλεῖν εἰς τὸ σκευαζόμενον φάρμακον, ἀλλ' ἑτέρου ταύρου τὴν μετρίως ξανθὴν εἱλόμην· ὑπερ επεπονήκει γὰρ ὁ ταῦρος ἐκεῖνος βιαίως ἑλκόμενος καὶ θερμοτέραν 15.2.17.1 ἐσχήκει τὴν κρᾶσιν. εἰσὶ δὲ καὶ αἱ τῶν πτηνῶν ζῴων χολαὶ πᾶσαι δριμύτεραι τε καὶ ξηραντικώτεραι τῶν ἐν τοῖς τετράποσι, τῶν δὲ πτη νῶν αὐτῶν αἵ τε τῶν ἀλεκτορίδων καὶ τῶν περδίκων ἀμείνους εἰς ἰατρικὴν χρείαν, αἱ δὲ τῶν ἱεράκων καὶ ἀετῶν δριμεῖαι δεινῶς εἰσι 15.2.17.5 καὶ διαβρωτικαί· διὸ καὶ ἰώδεις φαίνονται κατὰ τὴν χρόαν, ἐνίοτε δὲ 15.2.18.1 καὶ μέλαιναι. ταύτας οὖν αὐτῶν ἐπιστάμενος τὰς διαφοράς, ἐπιστά μενος δὲ καὶ τῶν παθῶν τίνα μὲν μᾶλλον δεῖται ξηραίνεσθαι, τίνα δ' ἧττον, ἐὰν μιᾶς ἡστι<νοσοῦν χολῆς ἀπὸ τῶν ἔργων πειραθῇς, ἀπ'> ἐκείνης εἰς τὰς ἄλλας μεταβαίνειν δυνήσει κατὰ μέθοδον, ὥστε ἀ<εὶ 15.2.19.1 τὴν> ἁρμόττουσαν τῷ <πάθει> παραλαμβάνειν."
15.1:27.54.1,Ἱδρὼς τῆς ἁλμυρᾶς τε καὶ ἁλυκῆς ὀνομαζομένης μετέχει ποιότητος· πολλάκις δ' αὐτῷ καὶ 15.2.20.1 πικρότης συνεμφαίνεται.
15.1:27.54.1,"Οὖρον θερμὸν μὲν πάντων τῶν ζῴων 15.2.21.1 ἐστίν· ἧττον δὲ τὸ τῶν ψυχροτέρων. ἀνθρώπων δ' οὖρον ἁπάντων τῶν ἄλλων σχεδὸν οὔρων ἐστὶν ἀσθενέστερον, ὅτι μὴ τῶν ἡμέρων ὑῶν, ὧν ἐκτέμνουσι τοὺς ὄρχεις· ἐκείνων γὰρ ἥ τε κρᾶσις ὅλου τοῦ σώματος ὁμοία τῇ τῶν ἀνθρώπων ἐστί, τό τε οὖρον ὡσαύτως ἀσθενές. 15.2.22.1 ῥυπτικῆς δὲ δυνάμεως, εἴπερ τι καὶ ἄλλο, τὸ τῶν ἀνθρώπων ἐστὶν οὖρον, ὡς δηλοῦσι καὶ οἱ κναφεῖς, τὰ ῥυπαρὰ τῶν ἀμφιεσμάτων ἐκ 15.2.23.1 καθαίροντές τε καὶ ἀπορρύπτοντες αὐτῷ."
15.1:27.54.1,"Σίαλον ἀσθενέστερον μέν ἐστι τὸ <τῶν ἐδηδοκότων> καὶ πεπ<ωκότων, ἰσχυρὸν> δὲ κ<αὶ δριμὺ 15.2.24.1 τὸ τῶν ὑπερ>διψησάν<των καὶ ὑπερπεινησάν>των. <καθ' ὅλην δὲ τὴν> οὐσίαν <τὸ πτύελον ἐνα>ντιώτατό<ν ἐστι τοῖς> ἀναιροῦσιν ἀνθρώ- <πους> θηρίοις· <ἐθεασάμην γοῦν ἐπὶ τῷ σιάλῳ μόνῳ σκορ>πίον κατα- <πτύσαντος> καὶ ἀποθανόντα, καὶ τοῦτο αὐτὸ <πάσχοντα> ταχέως μὲν 15.2.24.5 <ἐπὶ τοῦ> τῶν διψώντων τε καὶ πεινώντων πτ<υέλου, β>ραδέως δ' ἐπὶ 15.2.25.1 τῶν ἐμπεπλησμένων βρωμάτων τε καὶ πομάτων."
15.1:27.54.1,"Κόπρος πᾶσα δια 15.2.26.1 φορητικωτάτην ἔχει δύναμιν. τινὲς μὲν οὖν πάνυ συνεχῆ τὴν χρῆσιν 15.2.27.1 ἔχουσι, τινὲς δὲ σπανιωτέραν. συνεχέστατα μὲν οὖν χρώμεθα ταῖς τῶν αἰγῶν κόπροις (σπύραθοι δ' ἰδίως ὀνομάζονται), δριμείας καὶ δια φορητικῆς οὖσαι δυνάμεως, ὡς καὶ τοῖς σκιρρουμένοις ὄγκοις ἁρμόττειν. 15.2.28.1 καὶ μέντοι <καὶ> καυθεῖσα λεπτομερεστέρα μέν, οὐ μὴν δριμυτέρα γε 15.2.29.1 σαφῶς γίνεται. ἔστι δ' ἡ δύναμις αὐτῆς ἀκαύστου τε καὶ κεκαυμένης ῥυπτική τε καὶ διαφορητική, καὶ οὐδὲ βραχὺ τὸ διαφορητικὸν ἔχει. 15.2.30.1 τὴν μὲν οὖν καθόλου καὶ κοινὴν δύναμιν <ἁπάσαις εἶναι τὴν αὐτὴν ἀκ>ούει<ν> ..νω.. <ἐξ>ηλλά<χθαι δὲ κατὰ τὰς> τῶν ζῴων <κράσεις· τῶν μ>ὲν γὰρ ξηρ<οτέρων τῇ κρ>άσει ζῴων καὶ <ἡ κόπρος> ἐστὶ ξηραντικωτέρα, καθάπερ γε καὶ τῶν θερμοτέρων θερμαντικωτέρα· ψύχει 15.2.31.1 δ' οὐδεμία, καθάπερ οὐδὲ ὑγραίνει. πολλὴ δ' ἂν εἴη καὶ παρὰ τὴν τῶν ἐδηδεσμένων αὐτοῖς φύσιν ἡ διαφορά, καὶ διὰ τοῦτο ἐπ' ἀνθρώ που μᾶλλον ἢ τῶν ἄλλων ζῴων μείζων ἐστίν, ὅτι ποικιλωτάταις τρο φαῖς χρῆται τὸ ζῷον· τί γὰρ ὅμοιον ἔχει σκόροδά τε καὶ κρόμμυα 15.2.32.1 φαγόντος ἢ κολοκύνθας, εἰ οὕτως ἔτυχεν; αἱ δὲ τῶν βοῶν κόπροι 15.2.33.1 μετὰ τῆς ξηραντικῆς δυνάμεως ἔχουσι καὶ τὴν ἑλκτικήν. ἡ δὲ τῶν κροκοδείλων κόπρος καὶ ἡ τῶν ψάρων, ὅταν ὄρυζαν μόνην ἐσθίωσι, ῥυπτικὴν καὶ ξηραντικὴν ἔχουσι δύναμιν, μετρίαν μὲν ἑκατέρα, καὶ 15.2.34.1 πολὺ μετριωτέραν καὶ ἀμυδροτέραν αἱ τῶν ψάρων."
15.1:27.54.1,"Ῥύπος ὁ τῶν ἀνθρώπων ξηραντικῆς ἐστι δυνάμεως, ἔχων τι καὶ θερμότητος· ὅ γε μὴν ἐπιτρεφόμενος τοῖς τῶν προβάτων ἐρίοις ῥύπος, ἐξ οὗ τὸν καλού μενον οἴσυπον ποιοῦσι, πεπτικῆς ἐστι δυνάμεως παραπλησίως τῷ βου 15.2.35.1 τύρῳ, βραχὺ δέ τι διαφορητικὸν ἔχει."
15.1:27.54.1,"Σάρκες ἐχιδνῶν διαφορητικήν τε καὶ ξηραντικὴν ἱκανῶς ἔχουσι δύναμιν ἅμα τῷ θερμαίνειν μετρίως· ἐπείγεται δέ, ὡς ἔοικεν, ἡ δύναμις αὐτῶν ἐπὶ τὸ δέρμα, διὰ τούτου 15.2.36.1 κενοῦσα τὰ κατὰ τὸ σῶμα περιττώματα. φθειρῶν τε γοῦν οὐκ ὀλίγον πλῆθος γεννᾶται τοῖς ἔχουσι κακοχυμίαν ἐν τοῖς σώμασι δαψιλῆ, καὶ τοῦ δέρματος ἀφίσταταί τε καὶ ἀποπίπτει καθάπερ τις λοπὸς ἡ ἐπι δερμὶς ὀνομαζομένη, καθ' ἣν ἴσχονται μᾶλλον τῶν εἰς τὸ δέρμα φερο 15.2.36.5 μένων χυμῶν οἱ παχεῖς καὶ γεώδεις, ὑφ' ὧν αἵ τε ψῶραι καὶ αἱ 15.2.37.1 λέπραι καὶ ἐλεφαντιάσεις γίνονται."
15.1:27.54.1,"Κοχλιῶν ἡ σὰρξ κοπεῖσα πρό τερον ἐν ὅλμῳ καὶ μετὰ ταῦτα λειωθεῖσα ξηραντικωτάτη γίνεται πάν των τῶν ὑγρότητα περιττὴν ἐχόντων μορίων, ὥστε καὶ τοῖς ὑδερικοῖς 15.2.38.1 ἁρμόττειν."
15.1:27.54.1,"Πιμελῆς δὲ στέαρ διαφέρει τῷ πάχει· διὸ καὶ τοῖς γεω δεστέραν ἔχουσι τὴν ὅλην φύσιν ζῴοις τὸ στέαρ γίνεται, καθάπερ τοῖς 15.2.39.1 ὑγροτέραν ἡ πιμελή. διὰ τοῦτο τοιγαροῦν ἡ μὲν πιμελὴ τήκεται ῥᾳδίως ὑπὸ τοῦ πυρός, οὐ ῥᾳδίως δὲ πήγνυται τακεῖσα, τὸ δὲ στέαρ οὔτε τήκεται ῥᾳδίως, κἂν τακῇ, πήγνυται <τάχιστα καὶ> φαίνεται 15.2.40.1 <πολὺ> σκληρότερον τῆς πιμελῆς. ὗς μὲν οὖν εὐτροφῶν πιμελὴν πλείστην ἔχει διὰ τὴν <φυσικὴν> τῆς κράσεως ὑγρό<τητα, β>όες δὲ καὶ αἶγες ὅσα 15.2.41.1 τἄλλα κερασφόρα διὰ τὴν ξηρότητα τὸ στ<έαρ πλεῖς>τον γεννᾷ. σὺ δ' εἰ βούλει, τὴν ἐλαιώδη καὶ λιπαρὰν οὐσίαν ἅπασαν ἐν τοῖς ζῴοις κάλει στέαρ ὥ<σπερ> οἱ πλεῖστοι τῶν ἰατρῶν· ἔξεστι <δέ> σοι καὶ 15.2.42.1 πιμελὴν ὁμοίως. ὑγρότατόν ἐστι τὸ στέαρ τῶν ὑῶν σχεδὸν ἁπάντων τῶν ἄλλων καὶ διὰ τοῦτο κατὰ τὴν ἐνέργειαν ἐγγὺς ἐλαίου τὴν δύνα μιν, μαλακτικώτερόν γε μὴν ἐλαίου καὶ πεπτικώτερόν ἐστι καὶ διὰ τοῦτο τοῖς πρὸς φλεγμονὴν ἁρμόττουσι καταπλάσμασι μίγνυται· τοῖς 15.2.42.5 δὲ δακνομένοις κατὰ τὸ ἀπευθυσμένον ἢ τὸ κῶλον ἐνίεμεν αἴγειον μᾶλλον ἢ ὕειον <στέαρ>, οὐ<χ ὅτι μᾶλλον ἀμβλυν>τι<κόν ἐστι δρι μύτητος>, ἀλλ' ὅ<τι τὸ μὲν αἴγειον> πήγνυ<ται ῥᾳδίως διὰ> παχυ- <μέρειαν, ἀπορρεῖ δὲ τὸ ὕειον ὁμοίως τῷ ἐλαίῳ, διὰ τοῦτο ἐνίεμεν 15.2.43.1 αὐτὸ μᾶλλον ἐπὶ τῶν δυσεντερικῶν τε> καὶ τεινε<σμωδῶν. καὶ διὰ λεπτομέρεια>ν δ' ἔνια μᾶλλον <ἀμβλύν>ει δριμύ<τητας, ὅταν ἐν τῷ βάθ>ει τῶν <δακνομένων> σωμάτων <τὸ λυποῦν ᾖ>· ὅλα γὰρ <δι εξέρχεται τὰ> σώματ<α καὶ πᾶσι κ>εράν<νυται τοῖς δάκν>ουσιν <ἰχῶρ 15.2.44.1 σιν αὐτό. κατὰ τοῦ>το γοῦν <καὶ τὸ χήνειον> στέαρ τὰ <κατὰ> βάθος τῶν σωμάτων <δάκ>νοντα μᾶλλον ἀμβλύνει· ἔστι δὲ <καὶ> θερμότερον 15.2.45.1 τοῦ ὑείου ..... μεταξύ γε μὴν αὐτῶν <ἐστι τὸ> τῶν ἀλεκτρυόνων 15.2.46.1 καὶ τὸ τῶν ἀλεκτορίδων. θερμότερον δ' ἀεὶ <καὶ ξηρό>τερον τὸ τῶν <ἀρ>ρ<ένων> ζῴων ἐστίν, αὐτῶν δὲ τούτων τὸ τῶν <ἐκ>τετμημένων ἧττον θερμόν τε καὶ ξηρόν ἐστιν· ὁμοιοῦται γὰρ ἀεὶ τὰ εὐνουχισμένα 15.2.47.1 ἄρ<ρενα> τοῖς ὁμογενέσι θήλεσιν. <ἁπάσης μὲν οὖν> πιμελῆς <δύναμίς ἐς>τιν ὑγραντική <τε καὶ> θερμαντικὴ τῶν ἀνθρωπίνων σωμάτων· αἱ δὲ καθ' ἑκάστην αὐτῶν διαφοραὶ <κα>τὰ τὸ μᾶλλόν τε καὶ ἧττον ...... εἰσιν· τοῦ μὲν <γὰρ ὑὸς ὡς πρὸς> ἡμᾶς ἡ <πιμελὴ τὸ μὲν ὑγ>ραί<νειν ἔχει 15.2.47.5 δαψιλῶς>, τὸ ......... θερ<μαίνειν δ' οὐχ ὁμοίως> ὥς<περ τὸ ἔλα>ιον· <ἀλλ' ἔστι κατὰ τὴν ἐν ἡ>μῖν θ<ερμότητα καὶ> ἡ τοῦ λίπο<υς τῶν 15.2.48,49.1 ὑῶν. ἡ δὲ τ>ῶν τα<ύρων> πολὺ θερμοτέρα τῆς τῶν ὑῶν ἐστιν. τὸ δὲ 15.2.49.2 μόσχειον στέαρ ἀπολείπεται τοῦ τῶν ταύρων θερμότητι καὶ ξηρότητι, καὶ τὸ τῶν ἐρίφων τοῦ τῶν αἰγῶν, τοῦτο δὲ τοῦ τῶν τράγων, αὐτὸ δὲ πάλιν τὸ τῶν ταύρων τοῦ τῶν λεόντων· διαφορητικώτατον γὰρ 15.2.49.5 ἐκεῖνο σχεδὸν ἁπάντων τῶν ἐν τοῖς τετράποσιν· καὶ γὰρ θερμότατόν 15.2.50.1 ἐστι καὶ λεπτομερέστατον. χρονίζον δ' ἅπαν στέαρ ἑαυτοῦ γίνεται θερ 15.2.51.1 μότερόν τε καὶ λεπτομερέστερον, ὥστε καὶ διαφορητικώτερον."
15.1:27.54.1,"Μυελὸς μαλακτικῆς τῶν σκληρυνομένων τε καὶ σκιρρουμένων σωμάτων ἐστὶ 15.2.52.1 δυνάμεως, εἴτε μύες, εἴτε τένοντες, εἴτε καὶ σπλάγχνα. καλλίστου δ' ἐπειράθην ἀεὶ τοῦ τῶν ἐλάφων, ἐφεξῆς δὲ τοῦ τῶν μόσχων· ὁ δὲ τῶν ταύρων καὶ τράγων δριμύτερός ἐστι καὶ ξηραντικώτερος, ὥστε οὐ 15.2.53.1 δύναται διαλύειν σκληρότητας σκιρρώδεις. λαμβάνεται δ' οὐ μόνον ὀστῶν μυελός, ὅσπερ δὴ καὶ ὄντως ἐστὶ μυελός, ἀλλὰ καὶ ὁ ἐκ τῆς ῥάχεως, ὃν καὶ αὐτὸν ὀνομάζουσι μυελὸν <νωτιαῖον, ὄντα σκληρό>τερόν τε <καὶ αὐχμηρό>τερον τοῦ λοιποῦ· <μαλα>κώτερος γάρ ἐστιν ἐκεῖνος 15.2.53.5 καὶ λιπαρώτερος, καὶ διὰ τοῦτο ἐγὼ τὸν ἐκ τῆς ῥάχεως ἰδίᾳ καθ' 15.2.54.1 ἑαυτὸν ἄνευ τούτου κατατίθεμαι."
15.1:27.54.1,"Μαινίδων κεφαλῶν κεκαυμένων ἔοικε ξηραντική τις ἡ δύναμις εἶναι μὴ πάνυ δριμεῖα· τοῦτο γὰρ ἐνίοις 15.2.55.1 ὑπάρχει τῶν κεκαυμένων, ὡς τό γε ξηραίνειν κοινὸν ἅπασιν."
15.1:27.54.1,"Κέρας ἐλάφου καὶ αἰγὸς κεκαυμένον καὶ πεπλυμένον ξηραντικῆς δυνάμεώς 15.2.56,57.1 ἐστιν."
15.1:27.54.1,"Καστόρειον ξηραίνει καὶ θερμαίνει καὶ διαφορεῖ. τοῦτο μὲν 15.2.57.2 οὖν αὐτῷ κοινὸν καὶ πρὸς ἄλλα φάρμακα πάμπολλά ἐστιν· λεπτομερὲς δ' ἱκανῶς ὑπάρχει καὶ κατὰ τοῦτο πλέον ἑτέρων δύναται θερμαινόν των τε καὶ ξηραινόντων ὁμοίως αὐτῷ· τὰ γὰρ λεπτομερῆ δραστικώτερα 15.2.57.5 τῶν παχυμερῶν ἐστι, κἂν ἴσην ἔχῃ τὴν δύναμιν, ἐκ τοῦ διεξέρχεσθαι καὶ κατὰ βάθους ἰέναι τῶν ὁμιλούντων σωμάτων, καὶ μάλιστα ὅταν 15.2.58.1 ᾖ ταῦτα πυκνά, καθάπερ τὰ νευρώδη. φανερῶς γοῦν .............. .......................................................... 15.2.59.1 .......................................................... .......................................................... ............................................ <ἠπεπ>τηκό<των ζῴων ἢ ὑπερπεπεινηκότων ἢ ὑπερδεδ>ιψηκό<των ἢ> μοχθηροῖς ἐδέ 15.2.59.5 σμασι χρησαμένων· τὰ δ' ὠὰ μίαν μόνην ἐπιδέχεται μοχθηρίαν τὴν ἐκ τῆς παλαιότητος, ἣν ῥᾷστον φυλάττεσθαι τὸν προσφάτοις χρώμενον. 15.2.60.1 ἔστι δὲ συνηθέστατον ἡμῖν εὐποριστότατόν τε τὸ τῶν ἀλεκτορίδων, καὶ διὰ τοῦτο αὐτῷ χρώμεθα μὴ δεόμενοι τῶν ἄλλων, καίτοι τὴν αὐτὴν ἐχόντων φύσιν· τῇ κράσει δ' ἐστὶ ψυχρότερον ὀλίγῳ τοῦ συμ 15.2.61.1 μέτρου. ἔστι δὲ καὶ ἡ λέκιθος τῶν ὠῶν ὁμοίας φύσεως, καὶ διὰ τοῦτο 15.2.62.1 μίγνυται τοῖς ἀδήκτοις, ἑψηθέντων ἢ ὀπτηθέντων τῶν ὠῶν. εὔδηλον δ' ὅτι διοίσουσιν ἀλλήλων αὗται βραχεῖαν διαφορὰν διὰ τὸ ξηραντι κωτέραν μὲν ἠρέμα γίνεσθαι τὴν ὀπτήν, ὅσον δὲ προσέλαβε τῆς δυνά 15.2.63.1 μεως ταύτης, τοσοῦτον ἀπολλύναι τοῦ παρηγορικοῦ. ἐμψύχει δὲ 15.2.64.1 μετρίως τὸ ὠὸν καὶ ἀδήκτως ξηραίνει."
15.1:27.54.1,"Ἐχίνων ἀμφοτέρων, τοῦ τε θαλασσίου καὶ τοῦ χερσαίου, τὸ σῶμα πᾶν καιόμενον ἐργάζεται τέφραν 15.2.65.1 ῥυπτικῆς τε καὶ διαφορητικῆς <καὶ καθαιρετικῆς> δυνάμεως."
15.1:27.54.1,"Κοχλίων κεκαυμένων ἡ τέφρα ξηραντικῆς ἱκανῶς ἐστι δυνάμεως, ἐχούσης τι 15.2.66.1 διὰ τὴν καῦσιν καὶ θερμόν. καὶ ἄκαυστοι δὲ ξηραίνουσιν ἱκανῶς."
15.1:27.54.1,15.2.67.1 Καρκίνων τῶν ποταμίων καυθέντων ἡ τέφρα παραπλησίως τοῖς εἰρη 15.2.68.1 μένοις ξηραντικὴν ἔχει δύναμιν.
15.1:27.54.1,"Ἀλεκτορίδων ἁπλοῦς ζωμὸς ἐπι κρατητικῆς ἐστι δυνάμεως, ὥσπερ ὁ τῶν παλαιῶν ἀλεκτρυόνων ὑπακτι 15.2.69.1 κῆς· ἑψεῖν δ' αὐτοὺς χρὴ μεθ' ἁλῶν ἐπὶ πλεῖστον."
15.1:27.54.1,"Ἀδάρκιον δριμύ τατόν ἐστι καὶ θερμαντικώτατον· διὸ καὶ καθ' αὑτὸ μὲν ἄχρηστόν ἐστι, μίγνυται δὲ τοῖς ἀμβλύνουσι τὴν δύναμιν αὐτοῦ, καὶ οὕτως γίνεται πολύχρηστον ἐπὶ τῶν θερμανθῆναι δεομένων διαθέσεων ἔξωθεν 15.2.69.5 προσαγόμενον· εἴσω γὰρ τοῦ σώματος οὐχ οἷόν τε λαβεῖν αὐτὸ διὰ 15.2.70.1 τὸ σφοδρὸν τῆς δυνάμεως."
15.1:27.54.1,"Ἀλκυόνια ῥύπτει μὲν πάντα καὶ δια φορεῖ, δριμεῖαν ἔχοντα ποιότητα καὶ θερμὴν δύναμιν, ἀλλὰ τὸ μᾶλλόν τε καὶ ἧττον ἐν αὐτοῖς ἐστιν ................................. ........................................................."
