term_key,preferred_display,lemma_normalized,labels,is_multiword,head_lemma_normalized,variant_place_lemma_normalized,source_count,entry_count,occurrence_count,text_sources,author_groups,result_runs,confidence_avg,status
εντερον γης,ἔντερον γῆς,εντερον γης,SUBSTANCE:1,true,εντερον,,1,1,1,AET_LM,Aetius,entries_full_v3,0.820,draft
εντος,ἐντὸς,εντος,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.550,draft
εντοσθιδια,ἐντοσθίδια,εντοσθιδια,SUBSTANCE_PART:2,false,,,1,2,2,AET_LM,Aetius,entries_full_v3,0.840,draft
εντοσθιδιων,ἐντοσθιδίων,εντοσθιδιων,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.720,draft
εντυβον,ἔντυβον,εντυβον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
εντυβον αγριον,ἔντυβον ἄγριον,εντυβον αγριον,SUBSTANCE:1,true,εντυβον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ενυδρος,ἔνυδρος,ενυδρος,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.900,draft
εξανθησις,ἐξάνθησις,εξανθησις,SUBSTANCE:1,false,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.660,draft
εξοχας,ἐξοχάς,εξοχας,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
εξωνυχον,ἐξώνυχον,εξωνυχον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
επανθημα,ἐπάνθημα,επανθημα,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.700,draft
επανθισμα,ἐπάνθισμα,επανθισμα,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.750,draft
επιθυμον,ἐπίθυμον,επιθυμον,SUBSTANCE:9,false,,,5,9,9,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.870,draft
επιμηδιον,ἐπιμήδιον,επιμηδιον,SUBSTANCE:4,false,,,4,4,4,DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.863,draft
επιμηλιον,ἐπιμήλιον,επιμηλιον,SUBSTANCE:1,false,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.900,draft
επιμηλις,ἐπιμηλίς,επιμηλις,SUBSTANCE:2,false,,,2,2,2,GAL_SMT;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.950,draft
επιμηνια,ἐπιμήνια,επιμηνια,SUBSTANCE:1,false,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.800,draft
επιμηνιον,ἐπιμήνιον,επιμηνιον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.880,draft
επιπακτις,ἐπιπακτίς,επιπακτις,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
επιπετρον,ἐπίπετρον,επιπετρον,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.840,draft
επιρροη,ἐπιρροή,επιρροη,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.550,draft
επιτακτις,ἐπιτακτίς,επιτακτις,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.930,draft
επιφυσις,ἐπίφυσις,επιφυσις,SUBSTANCE_PART:2,false,,,2,2,2,GAL_SMT;ORIB_CM,Galen;Oribasius,entries_full_v3,0.710,draft
επταπλευρον,ἑπτάπλευρον,επταπλευρον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
ερεβινθος,ἐρέβινθος,ερεβινθος,SUBSTANCE:15,false,,,6,15,15,AET_LM;DIOSC_DMM;GAL_ALIM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.795,draft
ερεβινθος αγριος,ἐρέβινθος ἄγριος,ερεβινθος αγριος,SUBSTANCE:3,true,ερεβινθος,,3,3,3,DIOSC_DMM;GAL_SMT;ORIB_CM,Dioscorides;Galen;Oribasius,diosc_full_v3;entries_full_v3,0.893,draft
ερεβινθος ημερος,ἐρέβινθος ἥμερος,ερεβινθος ημερος,SUBSTANCE:1,true,ερεβινθος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.920,draft
ερεγμος,ἐρεγμός,ερεγμος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ερεικη,ἐρείκη,ερεικη,SUBSTANCE:5,false,,,3,5,5,DIOSC_DMM;GAL_SMT;ORIB_CM,Dioscorides;Galen;Oribasius,diosc_full_v3;entries_full_v3,0.856,draft
ερετριας,Ἐρετριάς,ερετριας,SUBSTANCE:5,false,,ερετρια,5,5,5,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.802,draft
ερετριας γη,Ἑρετριάς γῆ,ερετριας γη,SUBSTANCE:2,true,γη,ερετρια,1,2,2,DIOSC_DMM,Dioscorides,diosc_full_v3,0.905,draft
ερευθεδανον,ἐρευθέδανον,ερευθεδανον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
ερικη,ἐρίκη,ερικη,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.980,draft
ερινεος,ἐρινεός,ερινεος,SUBSTANCE:6,false,,,4,6,6,DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.708,draft
ερινεων συκα,ἐρινεῶν σῦκα,ερινεων συκα,SUBSTANCE_PART:1,true,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.850,draft
ερινος,ἔρινος,ερινος,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.930,draft
εριον,ἔριον,εριον,SUBSTANCE:17,false,,,5,17,17,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.822,draft
εριον κεκαυμενον,ἔριον κεκαυμένον,εριον κεκαυμενον,SUBSTANCE:2,true,εριον,,2,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.820,draft
εριον οισυπηρον,ἔριον οἰσυπηρόν,εριον οισυπηρον,SUBSTANCE:3,true,εριον,,1,3,3,DIOSC_DMM,Dioscorides,diosc_full_v3,0.753,draft
εριφος,ἔριφος,εριφος,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.750,draft
εριφου αιμα,ἐρίφου αἷμα,εριφου αιμα,SUBSTANCE:1,true,αιμα,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
εριωδες,ἐριῶδες,εριωδες,SUBSTANCE_PART:2,false,,,2,2,2,GAL_SMT;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.800,draft
ερμοδακτυλος,Ἑρμοδάκτυλος,ερμοδακτυλος,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.840,draft
ερμου βοτανιον,Ἑρμοῦ βοτάνιον,ερμου βοτανιον,SUBSTANCE:1,true,βοτανιον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
ερπετον,ἑρπετόν,ερπετον,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.500,draft
ερπυλλον,ἕρπυλλον,ερπυλλον,SUBSTANCE:4,false,,,2,4,4,DIOSC_DMM;ORIB_CM,Dioscorides;Oribasius,diosc_full_v3;entries_full_v3,0.767,draft
ερπυλλον αγριον μεγα,ἕρπυλλον ἄγριον μέγα,ερπυλλον αγριον μεγα,SUBSTANCE:1,true,ερπυλλον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ερπυλλος,ἕρπυλλος,ερπυλλος,SUBSTANCE:8,false,,,5,8,8,AET_LM;DIOSC_DMM;GAL_ALIM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.846,draft
ερπυλλος αγριος,ἕρπυλλος ἄγριος,ερπυλλος αγριος,SUBSTANCE:1,true,ερπυλλος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
ερυθρα ριζα,ἐρυθρὰ ῥίζα,ερυθρα ριζα,SUBSTANCE:1,true,ριζα,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.780,draft
ερυθραικον σατυριον,ἐρυθραϊκὸν σατύριον,ερυθραικον σατυριον,SUBSTANCE:1,true,σατυριον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
ερυθροδανον,ἐρυθρόδανον,ερυθροδανον,SUBSTANCE:6,false,,,5,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.848,draft
ερυθροδανος,ἐρυθρόδανος,ερυθροδανος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ερυθρος χαλκος,ἐρυθρὸς χαλκός,ερυθρος χαλκος,SUBSTANCE:3,true,χαλκος,,3,3,3,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.857,draft
ερυσιμον,ἐρύσιμον,ερυσιμον,SUBSTANCE:7,false,,,5,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.823,draft
ερυσιμου σπερμα,ἐρυσίμου σπέρμα,ερυσιμου σπερμα,SUBSTANCE_PART:2,true,,,2,2,2,AET_LM;ORIB_CM,Aetius;Oribasius,entries_full_v3,0.890,draft
ερυσιμου το σπερμα,ἐρυσίμου τὸ σπέρμα,ερυσιμου το σπερμα,SUBSTANCE_PART:2,true,,,2,2,2,GAL_SMT;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.900,draft
ερυσισκηπτρον,ἐρυσίσκηπτρον,ερυσισκηπτρον,SUBSTANCE:3,false,,,1,3,3,DIOSC_DMM,Dioscorides,diosc_full_v3,0.690,draft
εστυμμενον ελαιον,ἐστυμμένον ἔλαιον,εστυμμενον ελαιον,SUBSTANCE:2,true,ελαιον,,1,2,2,DIOSC_DMM,Dioscorides,diosc_full_v3,0.765,draft
ετερον τραγιον,ἕτερον τράγιον,ετερον τραγιον,SUBSTANCE:1,true,τραγιον,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.580,draft
ευζωμον,εὔζωμον,ευζωμον,SUBSTANCE:13,false,,,5,13,13,AET_LM;DIOSC_DMM;GAL_ALIM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.748,draft
ευζωμον αγριον,εὔζωμον ἄγριον,ευζωμον αγριον,SUBSTANCE:1,true,ευζωμον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ευζωμος,εὔζωμος,ευζωμος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.600,draft
ευπατοριον,εὐπατόριον,ευπατοριον,SUBSTANCE:5,false,,,3,5,5,AET_LM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul,entries_full_v3;paul_full_v3,0.902,draft
ευπατοριον αργεμωνη,Εὐπατόριον ἀργεμώνη,ευπατοριον αργεμωνη,SUBSTANCE:1,true,αργεμωνη,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
ευπατοριος,Εὐπατόριος,ευπατοριος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.950,draft
ευπατοριος ποα,εὐπατόριος πόα,ευπατοριος ποα,SUBSTANCE:1,true,ποα,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.900,draft
ευπεπλον,εὔπεπλον,ευπεπλον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
ευπεταλον,εὐπέταλον,ευπεταλον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
ευριπικη σχοινος,Εὐριπικὴ σχοῖνος,ευριπικη σχοινος,SUBSTANCE:1,true,σχοινος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
ευρως,εὐρώς,ευρως,SUBSTANCE:1,false,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.600,draft
ευφορβιον,εὐφόρβιον,ευφορβιον,SUBSTANCE:7,false,,λιβυη,5,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.914,draft
ευωδης μινθη,εὐώδης μίνθη,ευωδης μινθη,SUBSTANCE:2,true,μινθη,,2,2,2,GAL_SMT;ORIB_CM,Galen;Oribasius,entries_full_v3,0.890,draft
εφεδρον,ἕφεδρον,εφεδρον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
εφημερον,ἐφήμερον,εφημερον,SUBSTANCE:7,false,,,4,7,7,DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.796,draft
εφημερος,ἐφήμερος,εφημερος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
εφθος,ἑφθός,εφθος,SUBSTANCE:1,false,,σπανια,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
εφθος τυρος,ἑφθὸς τυρός,εφθος τυρος,SUBSTANCE:1,true,τυρος,,1,1,1,AET_LM,Aetius,entries_full_v3,0.860,draft
εφιαλτια,ἐφιαλτία,εφιαλτια,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.750,draft
εχιδνα,ἔχιδνα,εχιδνα,SUBSTANCE:10,false,,,5,10,10,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.792,draft
εχιδνη,ἐχίδνη,εχιδνη,SUBSTANCE:2,false,,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.825,draft
εχιδνης αι σαρκες,Ἐχίδνης αἱ σάρκες,εχιδνης αι σαρκες,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.950,draft
εχιδνης σαρκων,ἐχίδνης σαρκῶν,εχιδνης σαρκων,SUBSTANCE_PART:1,true,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.850,draft
εχιδνης σαρξ,ἐχίδνης σὰρξ,εχιδνης σαρξ,SUBSTANCE_PART:2,true,,,2,2,2,AET_LM;DIOSC_DMM,Aetius;Dioscorides,diosc_full_v3;entries_full_v3,0.880,draft
εχιδνων στεαρ,ἐχιδνῶν στέαρ,εχιδνων στεαρ,SUBSTANCE:2,true,στεαρ,,2,2,2,AET_LM;GAL_SMT,Aetius;Galen,entries_full_v3,0.860,draft
εχινος,ἐχῖνος,εχινος,SUBSTANCE:10,false,,,5,10,10,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.847,draft
εχινος θαλασσιος,ἐχῖνος θαλάσσιος,εχινος θαλασσιος,SUBSTANCE:3,true,εχινος,,2,3,3,DIOSC_DMM;ORIB_CM,Dioscorides;Oribasius,diosc_full_v3;entries_full_v3,0.767,draft
εχινος θαλαττιος,ἐχῖνος θαλάττιος,εχινος θαλαττιος,SUBSTANCE:4,true,εχινος,,3,4,4,AET_LM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul,entries_full_v3;paul_full_v3,0.772,draft
εχινος χερσαιος,ἐχῖνος χερσαῖος,εχινος χερσαιος,SUBSTANCE:5,true,εχινος,,5,5,5,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.780,draft
εχιον,ἔχιον,εχιον,SUBSTANCE:3,false,,,2,3,3,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.893,draft
εχις,ἔχις,εχις,SUBSTANCE:2,false,,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.890,draft
ζαλεια,ζαλεία,ζαλεια,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.550,draft
ζαρινα,ζάρινα,ζαρινα,SUBSTANCE:1,false,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.650,draft
ζαριναχα,ζαριναχά,ζαριναχα,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.740,draft
ζαρνακε,ζαρνακέ,ζαρνακε,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.760,draft
ζαρναχα,ζάρναχα,ζαρναχα,SUBSTANCE:1,false,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.650,draft
ζεα,ζέα,ζεα,SUBSTANCE:9,false,,,1,9,9,DIOSC_DMM,Dioscorides,diosc_full_v3,0.843,draft
ζεα απλη,ζέα ἁπλή,ζεα απλη,SUBSTANCE:1,true,ζεα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
ζεα δικοκκος,ζέα δίκοκκος,ζεα δικοκκος,SUBSTANCE:1,true,ζεα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
ζεα δισση,ζέα δισσή,ζεα δισση,SUBSTANCE:1,true,ζεα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.600,draft
ζεια,ζειά,ζεια,SUBSTANCE:9,false,,,4,9,9,AET_LM;GAL_ALIM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul,entries_full_v3;paul_full_v3,0.828,draft
ζεον υδωρ,ζέον ὕδωρ,ζεον υδωρ,SUBSTANCE:1,true,υδωρ,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
ζεστον υδωρ,ζεστὸν ὕδωρ,ζεστον υδωρ,SUBSTANCE:1,true,υδωρ,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
ζιγγιβερ,ζιγγίβερ,ζιγγιβερ,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.820,draft
ζιγγιβερεως η ριζα,Ζιγγιβέρεως ἡ ῥίζα,ζιγγιβερεως η ριζα,SUBSTANCE_PART:3,true,,,3,3,3,AET_LM;ORIB_CM;PAUL_AEG,Aetius;Oribasius;Paul,entries_full_v3;paul_full_v3,0.900,draft
ζιγγιβερεως ριζα,ζιγγιβέρεως ῥίζα,ζιγγιβερεως ριζα,SUBSTANCE_PART:1,true,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.950,draft
ζιγγιβερι,ζιγγίβερι,ζιγγιβερι,SUBSTANCE:5,false,,,3,5,5,AET_LM;DIOSC_DMM;GAL_SMT,Aetius;Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.896,draft
ζιγγιβερις,ζιγγίβερις,ζιγγιβερις,SUBSTANCE:8,false,,,5,8,8,AET_LM;DIOSC_DMM;GAL_ALIM;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.876,draft
ζυγις,ζυγίς,ζυγις,SUBSTANCE:2,false,,,2,2,2,AET_LM;DIOSC_DMM,Aetius;Dioscorides,diosc_full_v3;entries_full_v3,0.825,draft
ζυθος,ζῦθος,ζυθος,SUBSTANCE:7,false,,,5,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.916,draft
ζυμη,ζύμη,ζυμη,SUBSTANCE:12,false,,,4,12,12,AET_LM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Galen;Oribasius;Paul,entries_full_v3;paul_full_v3,0.869,draft
ζωγραφικη ασβολη,ζωγραφικὴ ἀσβόλη,ζωγραφικη ασβολη,SUBSTANCE:1,true,ασβολη,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.820,draft
ζωμος,ζωμός,ζωμος,SUBSTANCE:4,false,,,2,4,4,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.800,draft
ζωνιτις,ζωνῖτις,ζωνιτις,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
ζωον,ζῷον,ζωον,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.550,draft
ζωοφθαλμον,ζῳόφθαλμον,ζωοφθαλμον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
ζωπισσα,ζώπισσα,ζωπισσα,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
ζωπυριον,Ζωπύριον,ζωπυριον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.680,draft
ζωυφιον,ζωύφιον,ζωυφιον,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.720,draft
η δε ολη ριζα,ἡ δὲ ὅλη ῥίζα,η δε ολη ριζα,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
η δε ριζα,ἡ δὲ ῥίζα,η δε ριζα,SUBSTANCE_PART:4,false,,,1,4,4,PAUL_AEG,Paul,paul_full_v3,0.875,draft
η δε σαρξ αυτου,ἡ δὲ σὰρξ αὐτοῦ,η δε σαρξ αυτου,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.880,draft
η δε σαρξ αυτων,ἡ δὲ σὰρξ αὐτῶν,η δε σαρξ αυτων,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.700,draft
η δε της γαλης κοιλια,ἡ δὲ τῆς γαλῆς κοιλία,η δε της γαλης κοιλια,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
η δε του λευκου χαμαιλεοντος ριζα,ἡ δὲ τοῦ λευκοῦ χαμαιλέοντος ῥίζα,η δε του λευκου χαμαιλεοντος ριζα,SUBSTANCE_PART:1,false,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.900,draft
η εκ των κυπριων ηλων (λεπις),ἡ ἐκ τῶν Κυπρίων ἥλων (λεπίς),η εκ των κυπριων ηλων (λεπις),SUBSTANCE_PART:1,true,,κυπρος,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.780,draft
η μεν ριζα αυτης,ἡ μὲν ῥίζα αὐτῆς,η μεν ριζα αυτης,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
η ποα,ἡ πόα,η ποα,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
η ριζα,ἡ ῥίζα,η ριζα,SUBSTANCE_PART:16,true,,,4,16,16,AET_LM;DIOSC_DMM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.878,draft
η ριζα παραπλησια τη του κρινου,ἡ ῥίζα παραπλησία τῇ τοῦ κρίνου,η ριζα παραπλησια τη του κρινου,SUBSTANCE_PART:1,true,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.550,draft
η ριζα της βοτανης,ἡ ῥίζα τῆς βοτάνης,η ριζα της βοτανης,SUBSTANCE_PART:1,true,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.680,draft
η σαρξ,ἡ σὰρξ,η σαρξ,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.840,draft
η σαρξ αυτου,ἡ σὰρξ αὐτοῦ,η σαρξ αυτου,SUBSTANCE_PART:2,true,,,1,2,2,PAUL_AEG,Paul,paul_full_v3,0.890,draft
η τε ριζα,ἥ τε ῥίζα,η τε ριζα,SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
η του σιδηρου (λεπις),ἡ τοῦ σιδήρου (λεπίς),η του σιδηρου (λεπις),SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
η του στομωματος (λεπις),ἡ τοῦ στομώματος (λεπίς),η του στομωματος (λεπις),SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.780,draft
η του χαλκου (λεπις),ἡ τοῦ χαλκοῦ (λεπίς),η του χαλκου (λεπις),SUBSTANCE_PART:1,true,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.880,draft
ηδυοσμον,ἡδύοσμον,ηδυοσμον,SUBSTANCE:8,false,,,3,8,8,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.853,draft
ηδυοσμον αγριον,ἡδύοσμον ἄγριον,ηδυοσμον αγριον,SUBSTANCE:1,true,ηδυοσμον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
ηδυοσμος,ἡδύοσμος,ηδυοσμος,SUBSTANCE:7,false,,,5,7,7,AET_LM;DIOSC_DMM;GAL_ALIM;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.809,draft
ηδυσαρον,ἡδύσαρον,ηδυσαρον,SUBSTANCE:4,false,,,4,4,4,AET_LM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Galen;Oribasius;Paul,entries_full_v3;paul_full_v3,0.902,draft
ηδυσμα,ἥδυσμα,ηδυσμα,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.640,draft
